SubstanceID	Canc2_1	gen	non gen	Ind_Canc	Ind_Non_Genotox	Product					
156	1			0	1	0					
157	1	3		0	0	0					
158	1			0	1	0					
159	3	3		1	0	0					
160	3		3	1	1	1					
161	3	3		1	0	0					
162	3		3	1	1	1					
163	3	3		1	0	0					
164	3	3		1	0	0					
165	3	3		1	0	0					
166	3	3		1	0	0					
167	3			1	1	1					
168	1	3		0	0	0					
169	3			1	1	1					
170	3	3		1	0	0					
171	3	3		1	0	0					
172	3	3		1	0	0					
173	3	3		1	0	0					
174	3	3		1	0	0					
175	3	3		1	0	0					
176	3		3	1	1	1					
177	3		3	1	1	1					
178	3	3		1	0	0					
179	3			1	1	1					
180	1		3	0	1	0					
181	3		3	1	1	1					
182	3		3	1	1	1					
183	3	3		1	0	0					
184	3	3		1	0	0					
185	3			1	1	1					
186	3	3		1	0	0					
187	3	3		1	0	0					
188	3	3		1	0	0					
189	3			1	1	1					
190	1	3	3	0	0	0					
191	1			0	1	0					
192	1	3		0	0	0					
193	1			0	1	0					
194	1			0	1	0					
195	3		3	1	1	1					
196	3			1	1	1					
197	3	3		1	0	0					
198	3	3		1	0	0					
199	3	3		1	0	0					
200	3	3		1	0	0					
201	3			1	1	1					
202	3	3		1	0	0					
203	3			1	1	1					
204	3	3		1	0	0					
205	3	3		1	0	0					
206	3	3		1	0	0					
207	3	3		1	0	0					
208	3	3		1	0	0					
209	3	3		1	0	0					
210	3	3		1	0	0					
211	3	3		1	0	0					
212	3	3		1	0	0					
213	3	3		1	0	0					
214	1	3		0	0	0					
215	3	3		1	0	0					
216	3	3		1	0	0					
217	1	3		0	0	0					
218	3			1	1	1					
219	3			1	1	1					
220	3	3		1	0	0					
221	1	3		0	0	0					
222	3			1	1	1					
223	3			1	1	1					
224	3			1	1	1					
225	3	3		1	0	0					
226	3	3		1	0	0					
227	1	3		0	0	0					
228	3	3		1	0	0					
229	3	3		1	0	0					
230	3	3		1	0	0					
231	3	3		1	0	0					
232	3	3		1	0	0					
233	3			1	1	1					
